username,avatar_url,offers_count,time_remaining,title,job_url,preview_description,full_description,category,category_url,budget,page
Taegxxy,https://useme-prod-public.s3.amazonaws.com/avatars/035/423335.png,,Znika za 30 dni,English to Polish Translation of Medical Research Articles,"https://useme.com/pl/jobs/english-to-polish-translation-of-medical-research-articles,105046/","I am seeking an experienced translator to translate approximately 72 pages of medical research articles from English to Polish. The documents consist of three separate files.

*Requirements:*

- Native Polish speaker with excellent English...",Description not found,Język polski,"https://useme.com/pl/jobs/category/tlumaczenia,39/jezyk-polski,124/","2300,00 GBP",1
Jakub,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Zebranie adresów email drukarni UV w Polsce,"https://useme.com/pl/jobs/zebranie-adresow-email-drukarni-uv-w-polsce,105045/",Zebranie listy adresów email oraz adresów www stron internetowych możliwie największej ilości drukarni UV oraz firm posiadających plotery UV na terenie Polski.,Description not found,Inne,"https://useme.com/pl/jobs/category/zlecenia-dla-studentow,5/inne,65/",Do negocjacji,1
Młodzi w Polityce,https://useme-prod-public.s3.amazonaws.com/avatars/042/423342.png,,Znika za 30 dni,Optymalizacja SEO strony z artykułami,"https://useme.com/pl/jobs/optymalizacja-seo-strony-z-artykuami,105044/","Dzień dobry. Poszukujemy kogoś kto byłby wstanie zoptymalizować naszą stronę oraz artykuły, żeby same się proponowały np. w Google News (mamy już tam konto, potrzebujemy tylko optymalizacji i porad co to Google news) oraz w innych miejscach,...",Description not found,SEO,"https://useme.com/pl/jobs/category/marketing,37/seo,112/",Do negocjacji,1
Młodzi w Polityce,https://useme-prod-public.s3.amazonaws.com/avatars/042/423342.png,,Znika za 30 dni,Rozwinięcie strony na Facebooku i zbudowanie zaangażowania,"https://useme.com/pl/jobs/rozwiniecie-strony-na-facebooku-i-zbudowanie-zaangazowania,105043/","Dzień dobry, szukamy doświadczonej osoby która była by wstanie rozwinąć naszą stronę na Facebooku i zbudować tam zaangażowanie, jesteśmy młodzieżową inicjatywą gdzie młodzi piszą i tworzą u nas treści, a te treści chcielibyśmy bardziej...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/","800,00 PLN",1
Maciej D,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Poszukujemy specjalisty LinkedIn,"https://useme.com/pl/jobs/poszukujemy-specjalisty-linkedin,105042/","Poszukujemy specjalisty LinkedIn do długotrwałej współpracy! Jeśli masz doświadczenie w budowaniu zaangażowania, zwiększaniu liczby obserwujących oraz tworzeniu treści, które trafiają do serca odbiorców, zapraszamy do kontaktu. Twoje zadanie to...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/",Do negocjacji,1
TomaszCz,https://useme-prod-public.s3.amazonaws.com/avatars/098/406098.png,,Znika za 30 dni,Aplikacja mobilna Flutter,"https://useme.com/pl/jobs/aplikacja-mobilna-flutter,105041/","Witam, 

Zlecę stworzenie aplikacji mobilnej wykonanej w technologii flutter.

Aplikacja musi obsługiwać płatności subskrypcyjne w Sklepie Play oraz App Store. 

Projekt aplikacji w figmie jest obecnie w trakcie realizacji. Powinien być...",Description not found,Aplikacje mobilne,"https://useme.com/pl/jobs/category/programowanie-i-it,35/aplikacje-mobilne,101/",Do negocjacji,1
PROA Technology,https://useme-prod-public.s3.amazonaws.com/avatars/022/423322.png,,Znika za 30 dni,Animacja biznesowa - 20 sekundowa,"https://useme.com/pl/jobs/animacja-biznesowa-20-sekundowa,105040/",Potrzebujemy realizację 20-sekundowego filmu prezentującego naszą firmę technologiczną. Jesteśmy nominowani w jednym z konkursów i podczas gali mają być prezentowane krótkie filmiki nominowanych firm. Realizujemy projekty we współpracy z NCBiRem...,Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/","3000,00 PLN",1
danield,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Strona internetowa z funkcją sklepu internetowego,"https://useme.com/pl/jobs/strona-internetowa-z-funkcja-sklepu-internetowego,105039/","Wykonanie strony internetowej z możliwością zakupu produktów z branży techniki komunalnej.   Strona na Wordpress z wtyczką do zakupów. 
Przeniesienie praw autorskich",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,1
Pragmatic Coders,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,"Przygotowanie infografiki, z której można zrobić wielkoformatową naklejkę","https://useme.com/pl/jobs/przygotowanie-infografiki-z-ktorej-mozna-zrobic-wielkoformatowa-naklejke,105038/","Poszukuję designera/ grafika/ ilustratora, który wykona dla mnie projekt naklejki na ścianę na open space w biurze.
Ściana ma kolor grafitowy, całkowity wymiar 4,1 m szerokości x 2,97 m wysokości. 
Chcemy umieścić na niej logo firmy oraz...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,1
SZYMON,https://useme-prod-public.s3.amazonaws.com/avatars/058/038158_F11Rd1q.png,,Znika za 30 dni,Zaprojektowanie obudowy urządzenia 2D lub 3D,"https://useme.com/pl/jobs/zaprojektowanie-obudowy-urzadzenia-2d-lub-3d,105036/","Chciałbym zmienić wygląd urządzenia do filtrowania wody, mam w ogłowie jak ono powinno wyglądać, niemniej jednak brak mi umiejętności, żeby to wykonać.",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,1
